Wins,Name,Surface,Rank,Gender
3,Sharapova M.,Grass,5,Female
28,Sharapova M.,Hard,4.8571,Female
1,Shapatava S.,Clay,215,Female
10,Seppi A.,Clay,37.2,Male
13,Seppi A.,Hard,43.3077,Male
2,Sela D.,Clay,87.5,Male
3,Sela D.,Grass,101,Male
11,Sela D.,Hard,84,Male
2,Schwartzman D.,Clay,104.5,Male
2,Schmiedlova A.,Clay,56,Female
3,Schmiedlova A.,Hard,75.6667,Female
4,Schiavone F.,Clay,59,Female
1,Schiavone F.,Grass,71,Female
9,Schiavone F.,Hard,71.2222,Female
11,Scheepers C.,Clay,83.2727,Female
1,Scheepers C.,Grass,97,Female
3,Scheepers C.,Hard,79.3333,Female
2,Saville L.,Grass,210,Male
1,Savchuk O.,Hard,242,Female
2,Sasnovich A.,Hard,108.5,Female
1,Sanders S.,Hard,234,Female
9,Safarova L.,Clay,25.3333,Female
5,Safarova L.,Grass,23,Female
22,Safarova L.,Hard,20.5455,Female
4,Rybarikova M.,Clay,36.75,Female
3,Rybarikova M.,Grass,39,Female
13,Rybarikova M.,Hard,48.1538,Female
1,Russell M.,Clay,97,Male
5,Russell M.,Hard,108.8,Male
17,Rosol L.,Clay,45.2353,Male
1,Rosol L.,Grass,52,Male
10,Rosol L.,Hard,38.8,Male
1,Rola B.,Clay,80,Male
1,Rola B.,Grass,92,Male
2,Rola B.,Hard,136.5,Male
2,Rogowska O.,Hard,172.5,Female
4,Rogers S.,Clay,147,Female
8,Rogers S.,Hard,98,Female
2,Roger-Vasselin E.,Clay,46.5,Male
5,Roger-Vasselin E.,Grass,52.4,Male
14,Roger-Vasselin E.,Hard,43.9286,Male
1,Rodionova An.,Clay,217,Female
1,Rodionova An.,Hard,221,Female
15,Robredo T.,Clay,17.9333,Male
3,Robredo T.,Grass,22,Male
25,Robredo T.,Hard,19.56,Male
1,Robert S.,Clay,85,Male
4,Robert S.,Hard,111.75,Male
3,Riske A.,Clay,44.6667,Female
4,Riske A.,Grass,42,Female
17,Riske A.,Hard,56.0588,Female
3,Riba P.,Clay,99.3333,Male
1,Reister J.,Grass,110,Male
1,Razzano V.,Clay,79,Female
1,Razzano V.,Grass,104,Female
2,Razzano V.,Hard,90.5,Female
11,Raonic M.,Clay,9.4545,Male
5,Raonic M.,Grass,9,Male
31,Raonic M.,Hard,8.6129,Male
12,Ramos A.,Clay,98.1667,Male
1,Ramos A.,Hard,85,Male
1,Ramanathan R.,Hard,526,Male
1,Ram R.,Grass,157,Male
2,Ram R.,Hard,151,Male
3,Radwanska U.,Hard,175.6667,Female
12,Radwanska A.,Clay,3,Female
3,Radwanska A.,Grass,4,Female
28,Radwanska A.,Hard,4.3929,Female
5,Querrey S.,Clay,73.8,Male
6,Querrey S.,Grass,75.6667,Male
15,Querrey S.,Hard,55.2,Male
2,Putintseva Y.,Clay,204,Female
3,Putintseva Y.,Hard,136,Female
6,Puig M.,Clay,56.6667,Female
1,Puig M.,Grass,50,Female
9,Puig M.,Hard,60.7778,Female
1,Puetz T.,Grass,251,Male
4,Przysiezny M.,Hard,122.5,Male
2,Pouille L.,Hard,176,Male
1,Pospisil V.,Clay,34,Male
3,Pospisil V.,Grass,35,Male
16,Pospisil V.,Hard,37.625,Male
1,Polansky P.,Clay,130,Male
1,Polansky P.,Hard,129,Male
3,Pliskova Kr.,Hard,122,Female
7,Pliskova Ka.,Clay,57.8571,Female
1,Pliskova Ka.,Grass,50,Female
36,Pliskova Ka.,Hard,48.4167,Female
3,Piter K.,Clay,108,Female
1,Piter K.,Hard,120,Female
2,Pironkova T.,Clay,41.5,Female
15,Pironkova T.,Hard,67.8,Female
3,Phau B.,Hard,358,Male
5,Pfizenmaier D.,Clay,106,Female
1,Pfizenmaier D.,Hard,84,Female
1,Petzschner P.,Hard,524,Male
1,Petrova N.,Hard,205,Female
19,Petkovic A.,Clay,29.5263,Female
3,Petkovic A.,Grass,20,Female
17,Petkovic A.,Hard,22.8235,Female
1,Peterson R.,Hard,250,Female
2,Pervak K.,Hard,136,Female
6,Pereira T.,Clay,97.6667,Female
1,Pereira T.,Hard,103,Female
4,Pennetta F.,Clay,12.5,Female
2,Pennetta F.,Grass,12,Female
24,Pennetta F.,Hard,18.625,Female
6,Peng S.,Clay,44.1667,Female
3,Peng S.,Grass,60,Female
19,Peng S.,Hard,37.9474,Female
3,Pella G.,Clay,126.3333,Male
1,Peliwo F.,Clay,266,Male
4,Peer S.,Clay,91,Female
1,Peer S.,Grass,86,Female
5,Peer S.,Hard,113.4,Female
4,Pavlyuchenkova A.,Clay,25,Female
1,Pavlyuchenkova A.,Grass,26,Female
21,Pavlyuchenkova A.,Hard,26.7619,Female
1,Pavic M.,Grass,475,Male
2,Pavic A.,Grass,154,Male
1,Paszek T.,Clay,155,Female
3,Parmentier P.,Clay,145,Female
4,Parmentier P.,Hard,87.25,Female
3,Panova A.,Clay,136,Female
1,Panova A.,Hard,133,Female
3,Paire B.,Clay,61,Male
7,Paire B.,Hard,57.5714,Male
1,Oudin M.,Hard,127,Female
1,Ostapenko J.,Hard,407,Female
2,Osaka N.,Hard,335.5,Female
7,Ormaechea P.,Clay,74.5714,Female
2,Ormaechea P.,Hard,78,Female
6,Oprandi R.,Clay,106,Female
3,Oprandi R.,Hard,131.6667,Female
2,Olivo R.,Clay,282,Male
2,Olivetti A.,Hard,249,Male
10,Nishikori K.,Clay,14.5,Male
5,Nishikori K.,Grass,12,Male
37,Nishikori K.,Hard,12.2973,Male
5,Nieminen J.,Clay,56,Male
4,Nieminen J.,Grass,62.25,Male
14,Nieminen J.,Hard,46.0714,Male
4,Niculescu M.,Clay,70,Female
18,Niculescu M.,Hard,58.7778,Female
2,Nedovyesov A.,Clay,89,Male
2,Nedovyesov A.,Hard,107.5,Male
7,Nara K.,Clay,57,Female
1,Nara K.,Grass,40,Female
15,Nara K.,Hard,49.4667,Female
25,Nadal R.,Clay,1,Male
3,Nadal R.,Grass,1,Male
21,Nadal R.,Hard,1.2857,Male
11,Murray A.,Clay,7.7273,Male
5,Murray A.,Grass,5,Male
41,Murray A.,Hard,8.5122,Male
1,Muller G.,Grass,103,Male
3,Muller G.,Hard,61.3333,Male
1,Muhammad A.,Hard,285,Female
9,Muguruza G.,Clay,37.4444,Female
2,Muguruza G.,Grass,27,Female
27,Muguruza G.,Hard,37.037,Female
1,Moser L.M.,Clay,315,Female
3,Morita A.,Hard,75.3333,Female
12,Montanes A.,Clay,66.0833,Male
1,Montanes A.,Hard,59,Male
7,Monfils G.,Clay,26.2857,Male
2,Monfils G.,Grass,20.5,Male
23,Monfils G.,Hard,26.3043,Male
15,Monaco J.,Clay,74.4,Male
7,Monaco J.,Hard,81.1429,Male
2,Mladenovic K.,Clay,103,Female
13,Mladenovic K.,Hard,83.8462,Female
1,Minella M.,Hard,107,Female
5,Min G.,Clay,137.4,Female
1,Min G.,Hard,119,Female
1,Milojevic N.,Clay,581,Male
1,Millot V.,Hard,267,Male
1,Michon A.,Clay,206,Male
6,Meusburger Y.,Clay,38,Female
2,Meusburger Y.,Grass,38,Female
6,Meusburger Y.,Hard,44.1667,Female
8,Melzer J.,Clay,65,Male
3,Melzer J.,Grass,52,Male
3,Melzer J.,Hard,123,Male
10,Mchale C.,Clay,64,Female
1,Mchale C.,Grass,49,Female
9,Mchale C.,Hard,54.8889,Female
2,Mayr P.,Clay,80,Female
7,Mayr P.,Hard,93.7143,Female
18,Mayer L.,Clay,66.9444,Male
3,Mayer L.,Grass,64,Male
5,Mayer L.,Hard,40,Male
7,Mayer F.,Hard,37.5714,Male
3,Mattek-Sands B.,Hard,46,Female
4,Matosevic M.,Clay,68,Male
4,Matosevic M.,Grass,59.5,Male
14,Matosevic M.,Hard,63.0714,Male
3,Mathieu P.H.,Clay,95.6667,Male
1,Mathieu P.H.,Grass,92,Male
7,Mathieu P.H.,Hard,106.1429,Male
1,Martic P.,Hard,226,Female
2,Marti Y.,Clay,222,Male
2,Marchenko I.,Hard,172.5,Male
2,Mannarino A.,Clay,92.5,Male
4,Mannarino A.,Grass,84.75,Male
10,Mannarino A.,Hard,79.2,Male
2,Malek T.,Hard,413,Female
3,Makarova E.,Clay,23.3333,Female
6,Makarova E.,Grass,22,Female
30,Makarova E.,Hard,20.9667,Female
2,Majeric T.,Hard,129.5,Female
2,Mahut N.,Clay,39,Male
5,Mahut N.,Grass,48,Male
7,Mahut N.,Hard,62,Male
1,Machado R.,Clay,243,Male
2,Lucic M.,Clay,105.5,Female
10,Lucic M.,Hard,98.3,Female
1,Lu Y.H.,Clay,52,Male
3,Lu Y.H.,Grass,47.6667,Male
20,Lu Y.H.,Hard,49.7,Male
8,Lorenzi P.,Clay,101.125,Male
3,Lorenzi P.,Hard,85.6667,Male
7,Lopez F.,Clay,29.4286,Male
12,Lopez F.,Grass,26.9167,Male
21,Lopez F.,Hard,25.5238,Male
1,Llodra M.,Clay,147,Male
3,Llodra M.,Hard,148,Male
1,Lizarazo Y.,Clay,742,Female
1,Liu F.,Hard,273,Female
4,Lisicki S.,Clay,16,Female
4,Lisicki S.,Grass,19,Female
19,Lisicki S.,Hard,25.6842,Female
2,Linette M.,Hard,124,Female
1,Lindell C.,Clay,402,Male
1,Lim A.,Hard,150,Female
5,Li N.,Clay,2,Female
2,Li N.,Grass,2,Female
22,Li N.,Hard,2.9091,Female
1,Lertpitaksinchai N.,Hard,347,Female
4,Lepchenko V.,Clay,50.75,Female
3,Lepchenko V.,Grass,57.6667,Female
20,Lepchenko V.,Hard,47.8,Female
2,Larsson J.,Clay,99,Female
5,Larsson J.,Hard,89.2,Female
2,Larcherde Brito M.,Grass,104,Female
9,Lajovic D.,Clay,78.6667,Male
1,Lajovic D.,Grass,84,Male
4,Lajovic D.,Hard,93.5,Male
2,Lacko L.,Grass,88,Male
9,Lacko L.,Hard,92.3333,Male
1,Laaksonen H.,Clay,319,Male
4,Kyrgios N.,Grass,144,Male
4,Kyrgios N.,Hard,93.25,Male
6,Kvitova P.,Clay,6,Female
9,Kvitova P.,Grass,6,Female
26,Kvitova P.,Hard,4.7692,Female
12,Kuznetsova S.,Clay,28.6667,Female
15,Kuznetsova S.,Hard,26.3333,Female
2,Kuznetsov An.,Clay,136.5,Male
2,Kuznetsov An.,Grass,118,Male
4,Kuznetsov An.,Hard,119,Male
1,Kuznetsov Al.,Clay,155,Male
2,Kuznetsov Al.,Hard,141,Male
1,Kuwata H.,Hard,200,Female
5,Kumkhum L.,Hard,96,Female
1,Kulichkova E.,Hard,196,Female
3,Kukushkin M.,Clay,55.6667,Male
2,Kukushkin M.,Grass,63,Male
10,Kukushkin M.,Hard,70.1,Male
1,Kudryavtseva A.,Clay,117,Female
4,Kudryavtseva A.,Hard,131.25,Female
2,Kudryavtsev A.,Hard,208,Male
2,Kudla D.,Grass,129,Male
1,Kudla D.,Hard,106,Male
4,Kucova K.,Clay,161,Female
2,Kubot L.,Clay,77,Male
2,Kubot L.,Grass,72,Male
1,Kubot L.,Hard,72,Male
1,Kubler J.,Clay,352,Male
1,Krunic A.,Clay,155,Female
4,Krunic A.,Hard,136,Female
1,Krejcikova B.,Hard,214,Female
2,Krajinovic F.,Clay,149,Male
2,Krajinovic F.,Hard,99.5,Male
1,Krajicek M.,Grass,207,Female
1,Krajicek A.,Grass,208,Male
1,Kozlova K.,Hard,162,Female
3,Kovinic D.,Clay,122.6667,Female
3,Kovinic D.,Hard,137.3333,Female
6,Koukalova K.,Grass,31.6667,Female
4,Koukalova K.,Hard,36.25,Female
1,Kostova E.,Clay,244,Female
1,Kontaveit A.,Clay,161,Female
2,Konta J.,Grass,109.5,Female
2,Konjuh A.,Grass,188,Female
6,Konjuh A.,Hard,150.3333,Female
2,Kokkinakis T.,Hard,377,Male
1,Kohlschreiber P..,Hard,24,Male
15,Kohlschreiber P.,Clay,26.8667,Male
4,Kohlschreiber P.,Grass,27.25,Male
16,Kohlschreiber P.,Hard,24.625,Male
4,Knapp K.,Clay,55.75,Female
14,Knapp K.,Hard,68.1429,Female
13,Klizan M.,Clay,92.4615,Male
2,Klizan M.,Grass,57,Male
8,Klizan M.,Hard,65.25,Male
2,Kleybanova A.,Clay,102,Female
6,Kleybanova A.,Hard,149.6667,Female
2,Klahn B.,Hard,106,Male
1,Kirilenko M.,Clay,35,Female
1,Kirilenko M.,Grass,87,Female
3,Kirilenko M.,Hard,155,Female
5,King V.,Clay,70.6,Female
1,King V.,Grass,75,Female
7,King V.,Hard,80,Female
1,Kiick A.,Hard,160,Female
1,Kichenok N.,Grass,117,Female
1,Kichenok N.,Hard,101,Female
2,Kichenok L.,Hard,194,Female
1,Khromacheva I.,Clay,234,Female
5,Keys M.,Clay,43,Female
8,Keys M.,Grass,46.375,Female
14,Keys M.,Hard,33.2857,Female
5,Kerber A.,Clay,9,Female
8,Kerber A.,Grass,9,Female
30,Kerber A.,Hard,8.5667,Female
5,Kavcic B.,Hard,100.2,Male
12,Karlovic I.,Clay,43.25,Male
5,Karlovic I.,Grass,31.4,Male
19,Karlovic I.,Hard,49.6842,Male
2,Karatantcheva S.,Hard,195,Female
6,Kanepi K.,Clay,34.3333,Female
1,Kanepi K.,Grass,41,Female
10,Kanepi K.,Hard,37.7,Female
4,Kamke T.,Clay,88.75,Male
1,Kamke T.,Grass,90,Male
4,Kamke T.,Hard,88.25,Male
3,Jovanovski B.,Clay,40.6667,Female
2,Jovanovski B.,Grass,45,Female
15,Jovanovski B.,Hard,37,Female
2,Johnson S.,Clay,66.5,Male
5,Johnson S.,Grass,66.4,Male
13,Johnson S.,Hard,91.8462,Male
1,Jaziri M.,Grass,117,Male
