Wins,Name,Surface,Rank,Gender
18,Delbonis F.,Clay,50.6667,Male
2,Delbonis F.,Hard,66,Male
7,Del Potro J.M.,Hard,4.7143,Male
3,De Schepper K.,Clay,81.6667,Male
2,De Schepper K.,Grass,66,Male
2,De Schepper K.,Hard,102.5,Male
1,De Bakker T.,Clay,147,Male
2,De Bakker T.,Grass,143,Male
4,De Bakker T.,Hard,152,Male
1,Davydenko P.,Clay,658,Male
1,Davydenko N.,Clay,100,Male
5,Davydenko N.,Hard,64,Male
2,Davis L.,Clay,64,Female
6,Davis L.,Grass,59,Female
13,Davis L.,Hard,62.1538,Female
1,Date Krumm K.,Clay,95,Female
3,Date Krumm K.,Grass,78,Female
7,Date Krumm K.,Hard,82.1429,Female
2,Daniel T.,Clay,226,Male
1,Dancevic F.,Grass,107,Male
1,Dancevic F.,Hard,138,Male
1,Dabrowski G.,Clay,236,Female
13,Cuevas P.,Clay,106.3846,Male
4,Cuevas P.,Hard,35.75,Male
7,Cornet A.,Clay,21.7143,Female
4,Cornet A.,Grass,25,Female
26,Cornet A.,Hard,22.9615,Female
2,Coric B.,Clay,230,Male
4,Coric B.,Hard,144,Male
2,Copil M.,Clay,165.5,Male
4,Copil M.,Hard,164,Male
2,Cirstea S.,Clay,26,Female
10,Cirstea S.,Hard,47.2,Female
10,Cilic M.,Clay,25.5,Male
4,Cilic M.,Grass,29,Male
37,Cilic M.,Hard,24.6757,Male
7,Cibulkova D.,Clay,12.1429,Female
2,Cibulkova D.,Grass,10,Female
24,Cibulkova D.,Hard,15.375,Female
11,Chardy J.,Clay,45.8182,Male
5,Chardy J.,Grass,42.4,Male
17,Chardy J.,Hard,35.3529,Male
1,Chan Y.J.,Hard,257,Female
6,Cetkovska P.,Clay,76.5,Female
3,Cetkovska P.,Grass,65,Female
4,Cetkovska P.,Hard,116.25,Female
2,Cervantes I.,Clay,824,Male
8,Cepelova J.,Clay,75.375,Female
10,Cepelova J.,Hard,65.2,Female
1,Cepede Royg V.,Clay,182,Female
10,Carreno-Busta P.,Clay,61.5,Male
4,Carreno-Busta P.,Hard,68.5,Male
3,Carballes Baena R.,Clay,273,Male
1,Cadantu A.,Clay,61,Female
2,Cadantu A.,Hard,62,Female
1,Cabeza-Candela E.,Clay,107,Female
3,Cabeza-Candela E.,Hard,114,Female
1,Buyukakcay C.,Clay,164,Female
2,Buyukakcay C.,Hard,150,Female
3,Burnett N.,Clay,160,Female
6,Brown D.,Clay,97.1667,Male
2,Brown D.,Grass,85,Male
5,Brown D.,Hard,103.2,Male
1,Broady N.,Grass,164,Female
4,Brengle M.,Hard,108,Female
2,Brands D.,Hard,54,Male
17,Bouchard E.,Clay,18.1765,Female
6,Bouchard E.,Grass,13,Female
16,Bouchard E.,Hard,16.6875,Female
2,Boserup J.,Hard,302,Female
2,Bolelli S.,Clay,156,Male
2,Bolelli S.,Grass,132,Male
2,Bolelli S.,Hard,80.5,Male
2,Bogomolov A.,Hard,96,Male
1,Bogdan A.,Clay,308,Female
2,Bhambri Y.,Hard,195,Male
6,Bertens K.,Clay,131.5,Female
5,Bertens K.,Hard,99.2,Female
3,Berrer M.,Hard,146.3333,Male
15,Berlocq C.,Clay,53.4,Male
1,Berlocq C.,Grass,44,Male
1,Berlocq C.,Hard,80,Male
11,Berdych T.,Clay,5.9091,Male
4,Berdych T.,Grass,6,Male
38,Berdych T.,Hard,6.5263,Male
2,Berankis R.,Clay,153.5,Male
4,Berankis R.,Hard,125.25,Male
1,Benneteau J.,Clay,51,Male
2,Benneteau J.,Grass,47,Male
22,Benneteau J.,Hard,43.8182,Male
5,Bencic B.,Clay,131.2,Female
3,Bencic B.,Grass,73.6667,Female
10,Bencic B.,Hard,59.3,Female
10,Bellucci T.,Clay,112.2,Male
6,Bellucci T.,Hard,78.6667,Male
1,Bellis C.,Hard,1208,Female
7,Begu I.,Clay,125.2857,Female
1,Begu I.,Grass,80,Female
6,Begu I.,Hard,59.8333,Female
1,Bedene A.,Clay,109,Male
4,Bedene A.,Hard,107,Male
2,Becker B.,Clay,64,Male
5,Becker B.,Grass,79.4,Male
20,Becker B.,Hard,65.65,Male
3,Beck A.,Clay,52.3333,Female
2,Beck A.,Grass,55,Female
15,Beck A.,Hard,75.6,Female
12,Bautista R.,Clay,35,Male
7,Bautista R.,Grass,26.5714,Male
25,Bautista R.,Hard,38.56,Male
1,Barty A.,Hard,190,Female
9,Barthel M.,Clay,67.8889,Female
3,Barthel M.,Grass,58.3333,Female
11,Barthel M.,Hard,46.7273,Female
2,Bagnis F.,Clay,134,Male
1,Baghdatis M.,Clay,149,Male
2,Baghdatis M.,Grass,118.5,Male
4,Baghdatis M.,Hard,143.75,Male
3,Bacsinszky T.,Clay,147.3333,Female
1,Bacsinszky T.,Grass,86,Female
7,Bacsinszky T.,Hard,67.7143,Female
4,Bachinger M.,Hard,211,Male
2,Babos T.,Grass,108,Female
2,Babos T.,Hard,108.5,Female
1,Azarenka V.,Grass,8,Female
14,Azarenka V.,Hard,9.2143,Female
9,Arruabarrena L.,Clay,140.7778,Female
1,Arruabarrena L.,Hard,82,Female
1,Aoyama S.,Hard,257,Female
15,Andujar P.,Clay,58.3333,Male
8,Andujar P.,Hard,46,Male
9,Anderson K.,Clay,20.3333,Male
5,Anderson K.,Grass,18,Male
25,Anderson K.,Hard,19.56,Male
2,Amanmuradova A.,Hard,324,Female
1,Alund M.,Clay,133,Male
14,Almagro N.,Clay,19.5714,Male
1,Almagro N.,Hard,19,Male
3,Allertova D.,Hard,145,Female
1,Albot R.,Clay,229,Male
3,Abduraimova N.,Hard,189,Female
