Gender,Surface,Winner,Loser,WRank,LRank,WPts,LPts
Male,Hard,Ferrer D.,Young D.,3,96,5800,563
Male,Hard,Bautista R.,Sock J.,73,100,680,545
Male,Hard,Isner J.,Kohlschreiber P.,14,22,2150,1525
Male,Hard,Lu Y.H.,Johnson S.,62,160,730,327
Male,Hard,Ferrer D.,Garcia-Lopez G.,3,58,5800,776
Male,Hard,Isner J.,Bautista R.,14,73,2150,680
Male,Hard,Lu Y.H.,Ferrer D.,62,3,730,5800
Male,Hard,Isner J.,Lu Y.H.,14,62,2150,730
Male,Hard,Istomin D.,Andujar P.,49,48,945,946
Male,Hard,Benneteau J.,Ebden M.,35,65,1160,711
Male,Hard,Rosol L.,Sousa J.,47,51,956,934
Male,Hard,Cilic M.,Struff J-L.,37,106,1130,523
Male,Hard,Mahut N.,Harrison R.,50,99,938,549
Male,Hard,Ramos A.,Querrey S.,85,46,617,960
Male,Hard,Stepanek R.,Groth S.,45,157,970,334
Male,Hard,Stakhovsky S.,Berlocq C.,101,41,544,1020
Male,Hard,Kavcic B.,Nieminen J.,102,39,542,1090
Male,Hard,Matosevic M.,Mayer F.,56,38,819,1110
Male,Hard,Dolgopolov O.,Roger-Vasselin E.,55,40,825,1038
Male,Hard,Tomic B.,Granollers M.,52,224,910,215
Male,Hard,Matosevic M.,Seppi A.,56,25,819,1360
Male,Hard,Stakhovsky S.,Benneteau J.,101,35,544,1160
Male,Hard,Tursunov D.,Rosol L.,32,47,1244,956
Male,Hard,Stepanek R.,Ramos A.,45,85,970,617
Male,Hard,Del Potro J.M.,Mahut N.,5,50,5255,938
Male,Hard,Tomic B.,Kavcic B.,52,102,910,542
Male,Hard,Istomin D.,Cilic M.,49,37,945,1130
Male,Hard,Dolgopolov O.,Janowicz J.,55,21,825,1615
Male,Hard,Del Potro J.M.,Stepanek R.,5,45,5255,970
Male,Hard,Tursunov D.,Istomin D.,32,49,1244,945
Male,Hard,Tomic B.,Dolgopolov O.,52,55,910,825
Male,Hard,Stakhovsky S.,Matosevic M.,101,56,544,819
Male,Hard,Del Potro J.M.,Tursunov D.,5,32,5255,1244
Male,Hard,Tomic B.,Stakhovsky S.,52,101,910,544
Male,Hard,Del Potro J.M.,Tomic B.,5,52,5255,910
Male,Hard,Dodig I.,Karlovic I.,34,75,1190,667
Male,Hard,Nieminen J.,Sela D.,39,68,1090,706
Male,Hard,Youzhny M.,Struff J.L.,15,105,2145,527
Male,Hard,Falla A.,Kukushkin M.,87,66,612,721
Male,Hard,Querrey S.,Giraldo S.,51,69,915,703
Male,Hard,Mannarino A.,Johnson S.,71,147,692,378
Male,Hard,Wawrinka S.,Golubev A.,8,85,3890,620
Male,Hard,Dzumhur D.,Hajek J.,188,103,272,540
Male,Hard,Thiem D.,Sousa J.,136,50,422,925
Male,Hard,Mayer F.,Kudla D.,37,113,1110,497
Male,Hard,Ferrer D.,Gonzalez A.,3,74,5640,672
Male,Hard,Anderson K.,Vesely J.,21,83,1580,636
Male,Hard,Gulbis E.,Monaco J.,24,42,1418,1015
Male,Hard,De Schepper K.,Wu D.,86,203,617,246
Male,Hard,Gasquet R.,Guez D.,9,176,3140,286
Male,Hard,Berdych T.,Nedovyesov A.,7,94,4180,586
Male,Hard,Ebden M.,Mahut N.,67,46,711,958
Male,Hard,Chardy J.,Huta Galung J.,31,100,1255,557
Male,Hard,Fognini F.,Bogomolov A.,16,89,1930,611
Male,Hard,Mayer L.,Montanes A.,98,60,579,766
Male,Hard,Benneteau J.,Carreno-Busta P.,38,63,1090,739
Male,Hard,Robredo T.,Rosol L.,18,47,1810,956
